# Distributed under the terms of the GNU General Public License version 2 
# or any later version.
# 
# regression.txt
# This file contains example pairs of known speller bugs. It follows the
# same pattern as the src/typos.txt files, ie error and correction separated
# by a <tab> character:
# error<tab>correction
# Furthermore, this file contains correct entries that should be accepted
# as is - their format is:
# correct<tab>
# ie the correct word followed by a <tab> char, followed by new-line.
# 
# The file should be extended with examples of all known bugs we have fixed,
# and can be used to ensure that we don't brake any old fixes in new releases.
# Also problematic patterns not yet properly handled should get test pairs here.
# 
# It is possible, and encouraged, to add a comment with the relevant bug ID
# after each (group of) test case. Comments start with <tab>! or <tab>#. If
# you start a comment with a bug ID, it will ensure that all test pairs
# belonging to one bug is grouped together in the test report.
# 
# For maintenance reasons, and to easier ensure that all bugs are covered by
# both negative and positive tests, all test pairs are sorted according to bug
# number, and test pairs without a bug number in the beginning. Please add new
# test pairs at the proper location (usually at the end of the document).
# 
# Format summary:
# 
# error<tab>correction<tab># comment
# correct<tab><tab>! comment
#
# sme example: 
#rátnubiellu	rátnobiellu	#489 - lack of stem vowel shortening
mavveas	mavve-as	#805 - Nouns+acronyms
dåårjetje		#814 - we have no diminutives
tjåånghketje		#814 - we have no diminutives
sjåårhtetje		#814 - we have no diminutives
stovretje		#814 - we have no diminutives
hearketje		#814 - we have no diminutives
dåarjotje	dåårjetje	#814 - we have no diminutives
tjåanghkotje	tjåånghketje	#814 - we have no diminutives
sjåarhtotje	sjåårhtetje	#814 - we have no diminutives
ståvrotje	stovretje	#814 - we have no diminutives
hærketje	hearketje	#814 - we have no diminutives
gæhtsani	gæhtsan	#826 - gæhtsani
dåereden		#827 - VGen
dåajvohten		#827 - VGen
haelehten		#827 - VGen
dåerieden	dåereden	#827 - VGen
dåajvotidh	dåajvohten	#827 - VGen
haeleten	haelehten	#827 - VGen
magkeres		#828 - not recognized pronoun
maagkeres	magkeres	#828 - not recognized pronoun
mubpien		#829 - +A+Ord not recognized
tjuatadisnie		#829 - +A+Ord not recognized
låhkadasse		#829 - +A+Ord not recognized
mubpein	mubpien	#829 - +A+Ord not recognized
tjuatedisnie	tjuatadisnie	#829 - +A+Ord not recognized
låhkedasse	låhkadasse	#829 - +A+Ord not recognized
aktede		#830 - pronoun and numeral forms +Ine/+Ela+Attr not recognized
golmene		#830 - pronoun and numeral forms +Ine/+Ela+Attr not recognized
gåabpene		#830 - pronoun and numeral forms +Ine/+Ela+Attr not recognized
guhtede		#830 - pronoun and numeral forms +Ine/+Ela+Attr not recognized
daennie		#830 - pronoun and numeral forms +Ine/+Ela+Attr not recognized
aktehte	aktede	#830 - pronoun and numeral forms +Ine/+Ela+Attr not recognized
gålmene	golmene	#830 - pronoun and numeral forms +Ine/+Ela+Attr not recognized
gåebpene	gåabpene	#830 - pronoun and numeral forms +Ine/+Ela+Attr not recognized
guhtehte	guhtede	#830 - pronoun and numeral forms +Ine/+Ela+Attr not recognized
deannie	daennie	#830 - pronoun and numeral forms +Ine/+Ela+Attr not recognized
gellien		#831 - gellie not recognized
gellede		#831 - gellie not recognized
gellesne		#831 - gellie not recognized
gellen gellien	#831 - gellie not recognized
gellehte gellede	#831 - gellie not recognized
gelliesne	gellesne	#831 - gellie not recognized
byöpmedeminie		#833 - Gerund odd-stem
dåeredeminie		#833 - Gerund odd-stem
golteleminie		#833 - Gerund odd-stem
håhkesjeminie		#833 - Gerund odd-stem
byøpmedeminie	byöpmedeminie	#833 - Gerund odd-stem
dåeriedeminie	dåeredeminie	#833 - Gerund odd-stem
golhteleminie	golteleminie	#833 - Gerund odd-stem
håkesjeminie	håhkesjeminie	#833 - Gerund odd-stem
golmesh		#834 - Collective numerals
låhkasidie		#834 - Collective numerals
gaaktsesh		#834 - Collective numerals
gaaktsasidie		#834 - Collective numerals
golmash	golmesh	#834 - Collective numerals
låkasidie	låhkasidie	#834 - Collective numerals
gaaktsash gaaktsesh	#834 - Collective numerals
gaaktsasidie	gaaktsesidie	#834 - Collective numerals
moerelïevles	moerelïevle	#837 - noun+adjective compounds
